序号,代码,名称,市场代码简称,最新价(元),涨跌幅(%),涨跌额(元),最高价(元),最低价(元),换手率(%),量比,成交量(股),成交额(元),市盈率(动)(倍),市净率(倍),总市值(元),流通市值(元)
21,300489,光智科技,SZ,140.50,11.85,14.890,150.73,138.30,9.88,1.35,1369.82万,20.03亿,317.75,25.6626,195.52亿,194.80亿
22,301345,涛涛车业,SZ,253.00,11.80,26.700,262.00,233.01,8.03,1.63,281.31万,7.05亿,39.12,7.6316,275.89亿,88.63亿
23,300607,拓斯达,SZ,29.80,11.11,2.980,30.78,28.57,13.13,1.72,4430.72万,13.16亿,73.90,4.8962,142.14亿,100.57亿
24,688332,中科蓝讯,SH,81.20,10.85,7.950,84.88,78.10,4.29,1.52,765.65万,6.30亿,-617.35,2.8766,144.93亿,144.93亿
25,301529,福赛科技,SZ,75.86,10.25,7.050,79.68,72.25,5.92,1.31,376.01万,2.87亿,73.07,6.4177,89.84亿,48.22亿
26,301200,大族数控,SZ,233.00,10.22,21.600,252.39,230.00,1.06,1.19,452.72万,10.95亿,88.21,10.3153,1139.39亿,990.80亿
27,600588,用友网络,SH,11.08,10.03,1.010,11.08,9.80,2.84,1.50,9710.65万,10.36亿,-13.10,5.4906,378.60亿,378.60亿
28,600667,太极实业,SH,17.23,10.03,1.570,17.23,16.58,17.66,1.12,3.69亿,63.38亿,69.77,4.1870,360.37亿,360.37亿
29,603316,诚邦股份,SH,12.63,10.02,1.150,12.63,12.10,3.02,0.63,797.04万,9913.86万,36.29,5.6887,34.10亿,33.38亿
30,603466,风语筑,SH,10.21,10.02,0.930,10.21,9.44,13.96,1.94,8303.30万,8.26亿,35.63,2.9363,60.73亿,60.73亿
31,002979,雷赛智能,SZ,57.37,10.01,5.220,57.37,54.33,5.99,1.07,1333.63万,7.47亿,62.85,9.9923,181.31亿,127.81亿
32,600673,东阳光,SH,28.36,10.01,2.580,28.36,27.50,1.65,1.08,4952.81万,14.00亿,178.89,8.5962,853.51亿,851.24亿
33,605287,德才股份,SH,34.72,10.01,3.160,34.72,31.94,2.58,0.91,361.09万,1.23亿,35.95,3.0877,48.61亿,48.61亿
34,605289,罗曼股份,SH,85.75,10.01,7.800,85.75,84.89,1.23,0.37,187.57万,1.61亿,70.31,9.8031,130.86亿,130.68亿
35,001400,江顺科技,SZ,67.32,10.00,6.120,67.32,62.67,2.32,0.72,107.06万,7085.79万,37.63,4.4911,56.55亿,31.12亿
36,002851,麦格米特,SZ,106.45,10.00,9.680,106.45,102.18,6.36,1.05,2932.13万,31.07亿,135.75,6.9536,622.74亿,491.31亿
